product,period,forecast_type,adopted,method,value
Implanon,2023-07-01,Main,Service AI,Actual Consumption,34617
Implanon,2023-07-01,Main,Service AI,Service Excel,36377
Implanon,2023-07-01,Main,Service AI,Service AI,30486
Implanon,2023-07-01,Main,Service AI,Consumption Excel,32824
Implanon,2023-07-01,Main,Service AI,Consumption AI,29880
Implanon,2023-07-01,Main,Service AI,Demographic,23584
Implanon,2023-07-01,Main,Service AI,Consumption LMIS,NA
Implanon,2023-08-01,Main,Service AI,Actual Consumption,34754
Implanon,2023-08-01,Main,Service AI,Service Excel,36377
Implanon,2023-08-01,Main,Service AI,Service AI,31102
Implanon,2023-08-01,Main,Service AI,Consumption Excel,32824
Implanon,2023-08-01,Main,Service AI,Consumption AI,29944
Implanon,2023-08-01,Main,Service AI,Demographic,23584
Implanon,2023-08-01,Main,Service AI,Consumption LMIS,NA
Implanon,2023-09-01,Main,Service AI,Actual Consumption,28470
Implanon,2023-09-01,Main,Service AI,Service Excel,36377
Implanon,2023-09-01,Main,Service AI,Service AI,29557
Implanon,2023-09-01,Main,Service AI,Consumption Excel,32824
Implanon,2023-09-01,Main,Service AI,Consumption AI,29717
Implanon,2023-09-01,Main,Service AI,Demographic,23584
Implanon,2023-09-01,Main,Service AI,Consumption LMIS,NA
Implanon,2023-11-01,Main,Service AI,Actual Consumption,24382
Implanon,2023-11-01,Main,Service AI,Service Excel,36377
Implanon,2023-11-01,Main,Service AI,Service AI,31400
Implanon,2023-11-01,Main,Service AI,Consumption Excel,32824
Implanon,2023-11-01,Main,Service AI,Consumption AI,30186
Implanon,2023-11-01,Main,Service AI,Demographic,23584
Implanon,2023-11-01,Main,Service AI,Consumption LMIS,NA
Implanon,2023-10-01,Main,Service AI,Actual Consumption,25853
Implanon,2023-10-01,Main,Service AI,Service Excel,36377
Implanon,2023-10-01,Main,Service AI,Service AI,30286
Implanon,2023-10-01,Main,Service AI,Consumption Excel,32824
Implanon,2023-10-01,Main,Service AI,Consumption AI,29472
Implanon,2023-10-01,Main,Service AI,Demographic,23584
Implanon,2023-10-01,Main,Service AI,Consumption LMIS,NA
Implanon,2023-12-01,Main,Service AI,Actual Consumption,19385
Implanon,2023-12-01,Main,Service AI,Service Excel,36377
Implanon,2023-12-01,Main,Service AI,Service AI,30317
Implanon,2023-12-01,Main,Service AI,Consumption Excel,32824
Implanon,2023-12-01,Main,Service AI,Consumption AI,29685
Implanon,2023-12-01,Main,Service AI,Demographic,23584
Implanon,2023-12-01,Main,Service AI,Consumption LMIS,NA
Implanon,2024-01-01,Main,Service AI,Actual Consumption,19800
Implanon,2024-01-01,Main,Service AI,Service Excel,36377
Implanon,2024-01-01,Main,Service AI,Service AI,30122
Implanon,2024-01-01,Main,Service AI,Consumption Excel,32824
Implanon,2024-01-01,Main,Service AI,Consumption AI,30106
Implanon,2024-01-01,Main,Service AI,Demographic,23584
Implanon,2024-01-01,Main,Service AI,Consumption LMIS,NA
Implanon,2024-02-01,Main,Service AI,Actual Consumption,27260
Implanon,2024-02-01,Main,Service AI,Service Excel,36377
Implanon,2024-02-01,Main,Service AI,Service AI,29912
Implanon,2024-02-01,Main,Service AI,Consumption Excel,32824
Implanon,2024-02-01,Main,Service AI,Consumption AI,29814
Implanon,2024-02-01,Main,Service AI,Demographic,23584
Implanon,2024-02-01,Main,Service AI,Consumption LMIS,NA
Implanon,2024-03-01,Main,Service AI,Actual Consumption,32320
Implanon,2024-03-01,Main,Service AI,Service Excel,36377
Implanon,2024-03-01,Main,Service AI,Service AI,29932
Implanon,2024-03-01,Main,Service AI,Consumption Excel,32824
Implanon,2024-03-01,Main,Service AI,Consumption AI,29768
