product_id,product_name,pack_size,ven,,
1007,100 Seater tent,pc,N,,
5835,100 Seater tent,pc,N,,
2130,"135° DHS plate, holes 5, St. steel",Piece,E,,
2547,2 Rod implant 3 years(Levonorgestrel 75mg),null,E,,
2642,2 Rod implant 3 years(Levonorgestrel 75mg),10's,E,,
2692,2 Rod implant 3 years(Levonorgestrel 75mg),10s,E,,
2210,"3.5mm Cortical Bone Screw/Fully threaded, length 12mm, St. steel",Piece,E,,
2211,"3.5mm Cortical Bone Screw/Fully threaded, length 14mm, St. steel",Piece,E,,
2212,"3.5mm Cortical Bone Screw/Fully threaded, length 16mm, St. steel",Piece,E,,
2213,"3.5mm Cortical Bone Screw/Fully threaded, length 18mm, St. steel",Piece,E,,
2214,"3.5mm Cortical Bone Screw/Fully threaded, length 20mm, St. steel",Piece,E,,
2215,"3.5mm Cortical Bone Screw/Fully threaded, length 22mm, St. steel",Piece,E,,
2216,"3.5mm Cortical Bone Screw/Fully threaded, length 24mm, St. steel",Piece,E,,
2217,"3.5mm Cortical Bone Screw/Fully threaded, length 26mm, St. steel",Piece,E,,
2218,"3.5mm Cortical Bone Screw/Fully threaded, length 28mm, St. steel",Piece,E,,
2219,"3.5mm Cortical Bone Screw/Fully threaded, length 30mm, St. steel",Piece,E,,
4886,3 PIECE HAND EVALUATION SET (SAUNDERS),1's,N,,
2245,"4.0 mm Cancellous Bone Screw ½, length 45mm,St.steel",Piece,E,,
2246,"4.0 mm Cancellous Bone Screw ½, length 50mm,St.steel",Piece,E,,
2234,"4.0 mm Cancellous Bone Screw ½ threaded, length 12mm, St. steel",Piece,E,,
2249,"4.0 Mm Cancellous Bone Screw ½ Threaded, Length 14Mm, St. Steel",Piece,E,,
2250,"4.0 Mm Cancellous Bone Screw ½ Threaded, Length 16Mm, St. Steel",Piece,E,,
2235,"4.0 mm Cancellous Bone Screw ½ threaded, length 18mm, St. Steel",Piece,E,,
2236,"4.0 mm Cancellous Bone Screw ½ threaded, length 20mm, St. steel",Piece,E,,
2237,"4.0 mm Cancellous Bone Screw½ threaded, length 22mm, St. steel",Piece,E,,
2238,"4.0 mm Cancellous Bone Screw½ threaded, length 24mm, St. steel",Piece,E,,
2239,"4.0 mm Cancellous Bone Screw ½ threaded, length 26mm,St. steel",Piece,E,,
2240,"4.0 mm Cancellous Bone Screw ½ threaded, length 28mm,St.steel",Piece,E,,
2241,"4.0 mm Cancellous Bone Screw½ threaded, length 30mm,St.steel",Piece,E,,
2243,"4.0 mm Cancellous Bone Screw ½ threaded, length 35mm,St.steel",Piece,E,,
2244,"4.0 mm Cancellous Bone Screw ½ threaded, length 40mm,St.steel",Piece,E,,
2247,"4.0 mm Cancellous Bone Screw ½ threaded, length 55mm,St.steel",Piece,E,,
2248,"4.0 mm Cancellous Bone Screw ½ threaded, length60mm,St.steel",Piece,E,,
2221,"4.0 mm Cancellous Bone Screw/Fully threaded, length 16mm,St.steel",Piece,E,,
2222,"4.0 mm Cancellous Bone Screw/Fully threaded, length 18mm,St.steel",Piece,E,,
2223,"4.0 mm Cancellous Bone Screw/Fully threaded, length 20mm,St.steel",Piece,E,,
2224,"4.0 mm Cancellous Bone Screw/Fully threaded, length 22mm,St.steel",Piece,E,,
2225,"4.0 mm Cancellous Bone Screw/Fully threaded, length 24mm,St.steel",Piece,E,,
2226,"4.0 mm Cancellous Bone Screw/Fully threaded, length 26mm,St.steel",Piece,E,,
2227,"4.0 mm Cancellous Bone Screw/Fully threaded, length 28mm,St.steel",Piece,E,,
2228,"4.0 mm Cancellous Bone Screw/Fully threaded, length 30mm,St.steel",Piece,E,,
2229,"4.0 mm Cancellous Bone Screw/Fully threaded, length 35mm,St.steel",Piece,E,,
2230,"4.0 mm Cancellous Bone Screw/Fully threaded, length 45mm,St.steel",Piece,E,,
2231,"4.0 mm Cancellous Bone Screw/Fully threaded, length 50mm,St.steel",Piece,E,,
2232,"4.0 mm Cancellous Bone Screw/Fully threaded, length 55mm,St.steel",Piece,E,,
2233,"4.0 mm Cancellous Bone Screw/Fully threaded, length 60mm,St.steel",Piece,E,,
2287,"4.5mm Cortex Screw, length 14mm, St. steel",Piece,E,,
2288,"4.5mm Cortex Screw, length 16mm, St. steel",Piece,E,,
2289,"4.5mm Cortex Screw, length 18mm, St. steel",Piece,E,,
2290,"4.5mm Cortex Screw, length 20mm, St. steel",Piece,E,,
2291,"4.5mm Cortex Screw, length 22mm, St. steel",Piece,E,,
2292,"4.5mm Cortex Screw, length 24mm, St. steel",Piece,E,,
2293,"4.5mm Cortex Screw, length 26mm, St. steel",Piece,E,,
2294,"4.5mm Cortex Screw, length 28mm, St. steel",Piece,E,,
2295,"4.5mm Cortex Screw, length 30mm, St. steel",Piece,E,,
2296,"4.5mm Cortex Screw, length 32mm, St. steel",Piece,E,,
2297,"4.5mm Cortex Screw, length 34mm, St. steel",Piece,E,,
2298,"4.5mm Cortex Screw, length 36mm, St. steel",Piece,E,,
2299,"4.5mm Cortex Screw, length 38mm, St. steel",Piece,E,,
2300,"4.5mm Cortex Screw, length 40mm, St. steel",Piece,E,,
2301,"4.5mm Cortex Screw, length 48mm, St. steel",Piece,E,,
2302,"4.5mm Cortex Screw, length 50mm, St. steel",Piece,E,,
2303,"4.5mm Cortex Screw, length 52mm, St. steel",Piece,E,,
